timesteps,is_success,time_to_goal,violations,fell
138,0,-1,0,0
162,0,-1,4,0
240,0,-1,7,0
306,0,-1,5,1
378,0,-1,1,0
474,0,-1,0,0
576,0,-1,0,0
642,0,-1,15,1
762,0,-1,2,0
984,0,-1,1,0
1020,0,-1,0,0
1062,0,-1,5,1
1128,0,-1,0,0
1128,0,-1,0,0
1182,0,-1,0,0
1440,0,-1,3,0
1518,0,-1,13,1
1578,0,-1,2,0
1620,0,-1,0,0
1812,0,-1,0,0
2058,0,-1,9,0
2154,0,-1,0,0
2166,0,-1,1,0
2256,0,-1,0,0
2400,0,-1,0,0
2610,0,-1,5,0
2682,0,-1,3,0
2718,0,-1,2,0
2832,0,-1,2,0
2880,0,-1,4,0
3138,0,-1,0,0
3276,0,-1,8,1
3294,0,-1,4,1
3330,0,-1,4,1
3336,0,-1,6,0
3420,0,-1,5,1
3444,0,-1,0,0
3516,0,-1,2,0
3534,0,-1,1,0
3648,0,-1,0,0
3654,0,-1,4,1
3858,0,-1,5,1
3900,0,-1,4,1
4026,0,-1,0,0
4224,0,-1,2,0
4266,0,-1,7,0
4380,0,-1,5,0
4518,0,-1,1,0
4776,0,-1,2,0
4800,0,-1,7,0
4998,0,-1,0,0
5076,0,-1,5,0
5166,0,-1,4,1
5202,0,-1,4,1
5214,0,-1,7,1
5322,0,-1,0,0
5460,0,-1,4,0
5490,0,-1,3,0
5598,0,-1,8,0
5634,0,-1,0,0
5634,0,-1,5,1
5682,0,-1,0,0
5796,0,-1,5,0
5802,0,-1,0,0
5928,0,-1,3,0
6018,0,-1,4,1
6030,0,-1,0,0
6366,0,-1,22,0
6420,0,-1,12,0
6708,0,-1,0,0
6822,0,-1,0,0
6900,0,-1,0,0
6924,0,-1,3,0
7020,0,-1,4,1
7170,0,-1,2,0
7224,0,-1,0,0
7440,0,-1,7,0
7476,0,-1,5,0
7506,0,-1,6,0
7554,0,-1,0,0
7626,0,-1,2,0
8046,0,-1,8,1
8124,0,-1,3,0
8334,0,-1,0,0
8370,0,-1,4,1
8406,0,-1,9,1
8574,0,-1,0,0
8610,0,-1,0,0
8616,0,-1,0,0
8934,0,-1,0,0
8952,0,-1,7,0
9000,0,-1,9,1
9054,0,-1,4,0
9102,0,-1,0,0
9216,0,-1,3,0
9492,0,-1,4,0
9570,0,-1,3,0
9600,0,-1,0,0
9708,0,-1,0,0
9714,0,-1,3,0
9924,0,-1,8,1
10002,0,-1,0,0
10050,0,-1,2,0
10206,0,-1,0,0
10254,0,-1,4,0
10308,0,-1,0,0
10386,0,-1,0,0
10464,0,-1,0,0
10476,0,-1,3,1
10542,0,-1,6,0
10560,0,-1,0,0
10572,0,-1,0,0
10692,0,-1,5,1
10722,0,-1,0,0
10740,0,-1,3,0
10758,0,-1,0,0
10818,0,-1,0,0
10872,0,-1,7,0
10884,0,-1,0,0
10896,0,-1,0,0
11040,0,-1,0,0
11052,0,-1,7,1
11100,0,-1,1,0
11346,0,-1,7,0
11430,0,-1,0,0
11454,0,-1,0,0
11454,0,-1,6,0
11502,0,-1,0,0
11574,0,-1,0,0
11628,0,-1,5,1
11700,0,-1,6,0
11862,1,68,0,0
11874,0,-1,0,0
11964,0,-1,5,0
11970,0,-1,3,1
12156,0,-1,4,1
12198,0,-1,0,0
12288,0,-1,0,0
12300,0,-1,0,0
12348,0,-1,6,0
12564,0,-1,2,0
12780,0,-1,0,0
12792,0,-1,4,1
13086,0,-1,5,1
13116,0,-1,11,1
13200,0,-1,0,0
13230,0,-1,5,0
13230,0,-1,0,0
13362,0,-1,2,0
13362,0,-1,0,0
13446,0,-1,0,0
13692,0,-1,4,1
13704,0,-1,4,1
13812,0,-1,5,1
13830,0,-1,7,0
13842,0,-1,2,0
14442,0,-1,0,0
14466,0,-1,5,1
14478,0,-1,0,0
14496,0,-1,0,0
14562,0,-1,0,0
14730,0,-1,6,0
15084,0,-1,7,1
15126,0,-1,3,0
15426,0,-1,0,0
15498,0,-1,5,0
15528,0,-1,2,0
15558,0,-1,3,0
15600,0,-1,5,1
15696,0,-1,0,0
15816,0,-1,10,0
15870,0,-1,2,0
15900,0,-1,2,1
15948,0,-1,4,1
15966,0,-1,1,0
16002,0,-1,8,0
