fault_indices,fault_strength,fault_start_step,mean_reward,std_reward
"(0,)",0.700,0,1927.542124,940.205700
"(0,)",0.700,50,2170.756688,909.172429
"(0,)",0.700,150,1489.480752,1084.824897
"(0,)",0.500,0,2224.440075,675.804219
"(0,)",0.500,50,2200.901609,804.548704
"(0,)",0.500,150,1840.485713,997.913610
"(0,)",0.300,0,1959.380753,760.029638
"(0,)",0.300,50,2015.327081,772.217313
"(0,)",0.300,150,1862.902616,803.927877
"(1,)",0.700,0,1891.937633,1016.650268
"(1,)",0.700,50,1480.391623,1157.725517
"(1,)",0.700,150,1790.591401,985.813351
"(1,)",0.500,0,1785.790787,1082.728688
"(1,)",0.500,50,1774.747802,1001.646754
"(1,)",0.500,150,1300.429766,1021.254488
"(1,)",0.300,0,1732.036544,957.690565
"(1,)",0.300,50,1496.888254,847.164256
"(1,)",0.300,150,1704.413258,788.122568
"(2,)",0.700,0,2032.525582,992.674052
"(2,)",0.700,50,2531.295639,742.979178
"(2,)",0.700,150,2068.073055,937.241905
"(2,)",0.500,0,2271.097372,799.529873
"(2,)",0.500,50,1884.299693,880.505509
"(2,)",0.500,150,1926.617895,930.396026
"(2,)",0.300,0,2021.375692,553.233524
"(2,)",0.300,50,1863.285782,948.378662
"(2,)",0.300,150,2032.676995,764.238604
