exp,seed,domain,mode,n_episodes,mean_return,std_return,total_timesteps,actuator_dr_range,fault_strength,fault_indices,fault_start_step
baseline_noDR,0,target,eval,20,964.1636827020617,3.5390288287541702,800000,0.0,0.3,"(1,)",50
baseline_noDR,0,target,eval_fault,20,948.8197328378437,5.121597338999244,800000,0.0,0.3,"(1,)",50
baseline_noDR,1,target,eval,20,1483.0076458230901,143.70190624370818,800000,0.0,0.3,"(1,)",50
baseline_noDR,1,target,eval_fault,20,1484.8968199124242,138.7258250433987,800000,0.0,0.3,"(1,)",50
baseline_noDR,2,target,eval,20,1022.5865859920032,65.8139954150458,800000,0.0,0.3,"(1,)",50
baseline_noDR,2,target,eval_fault,20,981.7672250327017,378.62146821755863,800000,0.0,0.3,"(1,)",50
resilient_actuatorDR_r0p20,0,target,eval,20,909.7088566472532,35.55980853920336,800000,0.2,0.3,"(1,)",50
resilient_actuatorDR_r0p20,0,target,eval_fault,20,947.2835191762994,20.929273683644414,800000,0.2,0.3,"(1,)",50
resilient_actuatorDR_r0p20,1,target,eval,20,915.9727290793596,60.017484034431725,800000,0.2,0.3,"(1,)",50
resilient_actuatorDR_r0p20,1,target,eval_fault,20,952.134984968794,12.473771729913391,800000,0.2,0.3,"(1,)",50
resilient_actuatorDR_r0p20,2,target,eval,20,1642.1682339162417,4.263591843584761,800000,0.2,0.3,"(1,)",50
resilient_actuatorDR_r0p20,2,target,eval_fault,20,871.0320238276888,7.047425488226692,800000,0.2,0.3,"(1,)",50
resilient_actuatorDR_r0p30,0,target,eval,20,1602.539887994642,36.22806986651276,800000,0.3,0.3,"(1,)",50
resilient_actuatorDR_r0p30,0,target,eval_fault,20,1572.5142721790576,10.084389576844027,800000,0.3,0.3,"(1,)",50
resilient_actuatorDR_r0p30,1,target,eval,20,1539.8135992888556,12.194799158140556,800000,0.3,0.3,"(1,)",50
resilient_actuatorDR_r0p30,1,target,eval_fault,20,1552.6888732309592,8.69818982906593,800000,0.3,0.3,"(1,)",50
resilient_actuatorDR_r0p30,2,target,eval,20,1149.9209689407453,30.61880212314912,800000,0.3,0.3,"(1,)",50
resilient_actuatorDR_r0p30,2,target,eval_fault,20,1561.9964326958102,6.83410298333774,800000,0.3,0.3,"(1,)",50
