exp,seed,domain,mode,fault_tag,n_episodes,mean_return,std_return,total_timesteps,actuator_dr_range,fault_strength,fault_indices,fault_start_step
baseline_noDR,0,target,eval,,20,964.1636827020617,3.5390288287541702,800000,0.0,,,
baseline_noDR,0,target,eval_fault,a0_s0.7_t0,20,966.8167484961771,3.3952420182950345,800000,0.0,0.7,"(0,)",0
baseline_noDR,0,target,eval_fault,a0_s0.7_t50,20,966.2617406977824,3.4010765671575487,800000,0.0,0.7,"(0,)",50
baseline_noDR,0,target,eval_fault,a0_s0.7_t150,20,960.2331733583007,3.5249966746715113,800000,0.0,0.7,"(0,)",150
baseline_noDR,0,target,eval_fault,a0_s0.5_t0,20,962.9281862387674,5.451357621255039,800000,0.0,0.5,"(0,)",0
baseline_noDR,0,target,eval_fault,a0_s0.5_t50,20,964.4807384047715,3.3229134531769566,800000,0.0,0.5,"(0,)",50
baseline_noDR,0,target,eval_fault,a0_s0.5_t150,20,956.7710467866273,3.6854046088631707,800000,0.0,0.5,"(0,)",150
baseline_noDR,0,target,eval_fault,a0_s0.3_t0,20,946.4438439034109,5.128976115997676,800000,0.0,0.3,"(0,)",0
baseline_noDR,0,target,eval_fault,a0_s0.3_t50,20,944.2942428424642,4.433413649034116,800000,0.0,0.3,"(0,)",50
baseline_noDR,0,target,eval_fault,a0_s0.3_t150,20,939.4014683665031,2.772357620645554,800000,0.0,0.3,"(0,)",150
baseline_noDR,0,target,eval_fault,a1_s0.7_t0,20,973.7591405621349,9.814519960478904,800000,0.0,0.7,"(1,)",0
baseline_noDR,0,target,eval_fault,a1_s0.7_t50,20,968.7265159553539,5.6205548739298665,800000,0.0,0.7,"(1,)",50
baseline_noDR,0,target,eval_fault,a1_s0.7_t150,20,969.5525640814542,3.5799628813785653,800000,0.0,0.7,"(1,)",150
baseline_noDR,0,target,eval_fault,a1_s0.5_t0,20,955.2295010708222,6.622511766500959,800000,0.0,0.5,"(1,)",0
baseline_noDR,0,target,eval_fault,a1_s0.5_t50,20,953.3794598651951,4.678006526778464,800000,0.0,0.5,"(1,)",50
baseline_noDR,0,target,eval_fault,a1_s0.5_t150,20,947.3889261179917,5.4096532715068015,800000,0.0,0.5,"(1,)",150
baseline_noDR,0,target,eval_fault,a1_s0.3_t0,20,960.5123254860321,3.633947239892705,800000,0.0,0.3,"(1,)",0
baseline_noDR,0,target,eval_fault,a1_s0.3_t50,20,948.8197328378437,5.121597338999244,800000,0.0,0.3,"(1,)",50
baseline_noDR,0,target,eval_fault,a1_s0.3_t150,20,913.7073058618917,9.560227828456094,800000,0.0,0.3,"(1,)",150
baseline_noDR,0,target,eval_fault,a2_s0.7_t0,20,547.258713215369,1.79695229371745,800000,0.0,0.7,"(2,)",0
baseline_noDR,0,target,eval_fault,a2_s0.7_t50,20,548.5166908871305,1.6471996633907775,800000,0.0,0.7,"(2,)",50
baseline_noDR,0,target,eval_fault,a2_s0.7_t150,20,794.5812402163958,4.746414570790696,800000,0.0,0.7,"(2,)",150
baseline_noDR,0,target,eval_fault,a2_s0.5_t0,20,343.48553486192236,1.117693076676716,800000,0.0,0.5,"(2,)",0
baseline_noDR,0,target,eval_fault,a2_s0.5_t50,20,344.09156896157293,1.446708932055944,800000,0.0,0.5,"(2,)",50
baseline_noDR,0,target,eval_fault,a2_s0.5_t150,20,686.4981736026128,10.328412698564614,800000,0.0,0.5,"(2,)",150
baseline_noDR,0,target,eval_fault,a2_s0.3_t0,20,264.03192284146957,1.2890795071561336,800000,0.0,0.3,"(2,)",0
